"","country","year","urban_pop_percent","urban_growth","rural_growth","cap_city_pop","cap_percent_pop","cap_percent_urban","fertility_rate","infant_morality_per_thousand","life_exp","gender_ratio_lifeexp","continent","region","capital_pop","capital_pop_sign","capital_pop1","sign"
"625","Pakistan","2005",34,2.7,1.8,"676",0.4,1.3,NA,NA,NA,NA,"Asia","Southern Asia",676,"1",676,"1"
"626","Pakistan","2010",35,2.6,1.7,"804",0.5,1.3,4.3,70.5,64.4,0.931240657698057,"Asia","Southern Asia",804,"1",804,"1"
"627","Pakistan","2015",36,2.7,1.8,"957",0.5,1.4,3.9,62.1,65.7,0.93108504398827,"Asia","Southern Asia",957,"1",957,"1"
"628","Pakistan","2018",36.7,NA,NA,"1,061",NA,NA,3.8,58.8,66.3,0.930232558139535,"Asia","Southern Asia",NA,"0",1,"missing"
"629","Palau","2005",71.2,1,0.2,NA,NA,NA,NA,NA,NA,NA,"Oceania","Micronesia",NA,"0",1,"1"
"630","Palau","2010",74.8,1.6,-2.2,NA,NA,NA,2,20.8,65.6,0.917030567685589,"Oceania","Micronesia",NA,"0",1,"0"
"631","Palau","2015",78.2,1.7,-2.1,NA,NA,NA,2.1,17.9,63.7,0.91904047976012,"Oceania","Micronesia",NA,"0",1,"0"
"632","Palau","2018",79.9,NA,NA,"11",NA,NA,NA,NA,NA,NA,"Oceania","Micronesia",11,"1",11,"missing"
"633","Panama","2005",63.7,2.4,1.1,"1,352",40.6,63.8,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"634","Panama","2010",65.1,2.2,1,"1,504",41.3,63.4,2.6,16.9,76.4,0.91969887076537,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"635","Panama","2015",66.7,2.2,0.8,"1,673",42.2,63.2,2.6,15.1,77.5,0.925465838509317,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"636","Panama","2018",67.7,NA,NA,"1,783",NA,NA,2.5,14.3,77.8,0.924598269468479,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"637","Papua New Guinea","2005",13.1,2.4,2.5,"281",4.5,34,NA,NA,NA,NA,"Oceania","Melanesia",281,"1",281,"1"
"638","Papua New Guinea","2010",13,2.2,2.4,"312",4.4,33.7,3.9,44.9,63,0.938744257274119,"Oceania","Melanesia",312,"1",312,"1"
"639","Papua New Guinea","2015",13,2.2,2.2,"345",4.4,33.5,3.6,40,64.7,0.918879056047198,"Oceania","Melanesia",345,"1",345,"1"
"640","Papua New Guinea","2018",13.2,NA,NA,"367",NA,NA,3.4,38,65.1,0.922173274596182,"Oceania","Melanesia",367,"1",367,"missing"
"641","Paraguay","2005",57.6,2.6,0.7,"2,134",36.8,63.9,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"642","Paraguay","2010",59.3,1.9,0.6,"2,587",41.7,70.3,2.7,21.7,71.9,0.925133689839572,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"643","Paraguay","2015",60.8,1.8,0.6,"2,967",44.7,73.6,2.6,18.6,73.2,0.927631578947368,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"644","Paraguay","2018",61.6,NA,NA,"3,222",NA,NA,2.6,17.5,73.6,0.928104575163399,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"645","Peru","2005",75,1.8,-0.3,"8,081",29.3,39,NA,NA,NA,NA,"Americas","Latin America and the Caribbean",NA,"0",1,"0"
"646","Peru","2010",76.4,1.6,0.1,"8,920",30.4,39.7,2.6,15.7,73.7,0.9433465085639,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"647","Peru","2015",77.4,1.6,0.5,"9,813",31.3,40.4,2.3,12.6,75.6,0.947232947232947,"Americas","Latin America and the Caribbean",NA,"0",1,"1"
"648","Peru","2018",77.9,NA,NA,"10,391",NA,NA,2.3,11.6,75.9,0.943661971830986,"Americas","Latin America and the Caribbean",NA,"0",1,"missing"
"649","Philippines","2005",45.7,1.8,2.2,"10,751",12.5,27.3,NA,NA,NA,NA,"Asia","South-eastern Asia",NA,"0",1,"1"
"650","Philippines","2010",45.3,1.5,1.8,"11,887",12.7,28,3.3,26.3,70.8,0.954419889502762,"Asia","South-eastern Asia",NA,"0",1,"1"
"651","Philippines","2015",46.3,2.1,1.3,"12,860",12.6,27.3,3,24.7,71.3,0.952054794520548,"Asia","South-eastern Asia",NA,"0",1,"1"
"652","Philippines","2018",46.9,NA,NA,"13,482",NA,NA,2.9,23.9,71.5,0.949591280653951,"Asia","South-eastern Asia",NA,"0",1,"missing"
"653","Poland","2005",61.5,-0.2,0,"1,684",4.4,7.1,NA,NA,NA,NA,"Europe","Eastern Europe",NA,"0",1,"1"
